,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
5,Murgab,TM,82.78,37.4966,61.9714,clear sky,Wepa Nurlyýew
6,Kutum,SD,78.03,14.2,24.6667,clear sky,Dibbo areaمنطقة دبو
9,Nepa Nagar,IN,82.74,21.4667,76.4,broken clouds,Nemade Farm House Siwal
10,Magaria,NE,81.57,12.9983,8.9099,few clouds,Chez Honorable Chapiou
13,Dalbandin,PK,84.43,28.8947,64.4101,clear sky,Sanjrani House
14,Otukpo,NG,72.41,7.1913,8.1329,light rain,Queen s Hotel
16,Trincomalee,LK,88.43,8.5711,81.2335,overcast clouds,Welcombe Hotel
18,Buta,CD,73.94,2.7858,24.73,overcast clouds,Hôtel BOPANDO
19,Pindiga,NG,74.61,9.9833,10.9333,overcast clouds,Accommodation Center
21,Hobyo,SO,81.75,5.3505,48.5268,few clouds,Halane Hotel and Restaurent
25,Medak,IN,81.95,18.0333,78.2667,light rain,Haritha Heritage Hotel
30,Faya,SA,72.12,18.3851,42.4509,clear sky,شيلة نسايم
31,Thinadhoo,MV,81.91,0.5333,72.9333,few clouds,
33,Kashan,IR,82.83,33.9831,51.4364,clear sky,Manouchehri Traditional House And Hotel
34,Ilam,NP,75.02,26.9167,87.9167,scattered clouds,चियाबारी कटेज
35,Gat,IL,77.68,31.61,34.7642,scattered clouds,OlusHome
36,Kidal,ML,79.93,18.4411,1.4078,clear sky,
37,Sangmelima,CM,70.41,2.9333,11.9833,overcast clouds,gamestar hotel
42,Abu Kamal,SY,82.9,34.4506,40.9171,overcast clouds,البوكمال
43,Taloqan,AF,79.27,36.7361,69.5345,clear sky,Saraisang street
44,Zaria,NG,72.19,11.1113,7.7227,overcast clouds,A.B.U Hotels
45,Ati,TD,85.33,13.2154,18.3353,clear sky,
47,Malanville,BJ,76.3,11.8685,3.3899,overcast clouds,Hotel Sejour du Sahel
50,Galle,LK,80.42,6.0367,80.217,very heavy rain,Amangalla
51,Najran,SA,78.82,17.4924,44.1277,few clouds,محمد هادي ال فطيح
58,Batouri,CM,72.54,4.4333,14.3667,overcast clouds,Hotel Hollywood
62,Hindaun,IN,85.75,26.7167,77.0167,clear sky,Shri Ganesham Resort and Water Park
63,Adwa,ET,70.61,14.1646,38.8955,broken clouds,Maay Assa Hotel
64,Bosobolo,CD,76.44,4.1833,19.9,light rain,
