,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sandwick,GB,60.0,-1.25,49.82,66,40,19.57,scattered clouds
1,Dikson,RU,73.5069,80.5464,33.03,95,99,14.67,overcast clouds
2,Horki,BY,54.2861,30.9842,43.14,72,89,11.01,overcast clouds
3,Lasa,IT,46.6166,10.7002,51.37,87,56,0.76,broken clouds
4,Uyemskiy,RU,64.4743,40.8524,46.45,100,100,2.24,overcast clouds
5,Murgab,TM,37.4966,61.9714,82.78,12,0,7.87,clear sky
6,Kutum,SD,14.2,24.6667,78.03,23,10,12.24,clear sky
7,Troitsko-Pechorsk,RU,62.7084,56.1964,41.45,80,100,6.2,overcast clouds
8,Mao,ES,39.8885,4.2658,68.56,94,20,1.14,fog
9,Nepa Nagar,IN,21.4667,76.4,82.74,44,71,10.76,broken clouds
10,Magaria,NE,12.9983,8.9099,81.57,19,22,5.06,few clouds
11,Abatskoye,RU,56.2875,70.4555,52.54,55,100,7.63,overcast clouds
12,Korla,CN,41.7597,86.1469,66.92,16,2,7.02,clear sky
13,Dalbandin,PK,28.8947,64.4101,84.43,5,0,5.59,clear sky
14,Otukpo,NG,7.1913,8.1329,72.41,95,98,3.8,light rain
15,Nyagan,RU,62.1406,65.3936,43.93,73,67,3.76,broken clouds
16,Trincomalee,LK,8.5711,81.2335,88.43,63,100,0.87,overcast clouds
17,Sakhnovshchyna,UA,49.1517,35.872,45.54,56,0,9.01,clear sky
18,Buta,CD,2.7858,24.73,73.94,88,100,1.63,overcast clouds
19,Pindiga,NG,9.9833,10.9333,74.61,86,100,7.49,overcast clouds
20,Sovetskiy,RU,61.3614,63.5842,41.16,83,100,1.45,overcast clouds
21,Hobyo,SO,5.3505,48.5268,81.75,69,23,13.15,few clouds
22,Maricka,BA,44.8686,16.8406,45.82,76,83,1.68,broken clouds
23,Waddan,LY,29.1614,16.139,69.17,65,0,10.07,clear sky
24,Buraydah,SA,26.326,43.975,90.12,12,0,12.15,clear sky
25,Medak,IN,18.0333,78.2667,81.95,74,55,9.95,light rain
26,Shatalovo,RU,54.334,32.4465,42.03,72,100,8.12,overcast clouds
27,Esil,KZ,51.9556,66.4042,56.64,41,100,11.01,overcast clouds
28,Mehamn,NO,71.0357,27.8492,33.75,93,15,9.22,few clouds
29,Sorland,NO,67.667,12.6934,48.06,71,100,21.27,overcast clouds
30,Faya,SA,18.3851,42.4509,72.12,16,0,4.07,clear sky
31,Thinadhoo,MV,0.5333,72.9333,81.91,74,18,15.84,few clouds
32,Santa Marinella,IT,42.0345,11.8536,66.7,79,0,3.44,clear sky
33,Kashan,IR,33.9831,51.4364,82.83,13,4,3.42,clear sky
34,Ilam,NP,26.9167,87.9167,75.02,67,31,6.4,scattered clouds
35,Gat,IL,31.61,34.7642,77.68,100,44,4.68,scattered clouds
36,Kidal,ML,18.4411,1.4078,79.93,10,0,12.03,clear sky
37,Sangmelima,CM,2.9333,11.9833,70.41,87,100,3.89,overcast clouds
38,Dalmatovo,RU,56.26,62.9362,50.34,67,100,5.93,overcast clouds
39,Raymun,JO,32.2834,35.8253,67.03,60,74,3.2,broken clouds
40,Likhoslavl,RU,57.1275,35.464,43.18,78,100,6.38,overcast clouds
41,Muslyumovo,RU,55.3033,53.1947,43.5,93,100,9.84,overcast clouds
42,Abu Kamal,SY,34.4506,40.9171,82.9,30,90,4.12,overcast clouds
43,Taloqan,AF,36.7361,69.5345,79.27,7,0,4.72,clear sky
44,Zaria,NG,11.1113,7.7227,72.19,59,100,3.6,overcast clouds
45,Ati,TD,13.2154,18.3353,85.33,18,2,10.31,clear sky
46,Gubkinskiy,RU,64.434,76.5026,39.58,66,100,16.55,overcast clouds
47,Malanville,BJ,11.8685,3.3899,76.3,76,100,4.81,overcast clouds
48,Svetlogorsk,BY,52.6333,29.7333,45.48,69,80,10.31,broken clouds
49,Krasnoarmeysk,RU,51.0239,45.6969,44.67,59,8,7.85,clear sky
50,Galle,LK,6.0367,80.217,80.42,81,98,11.41,very heavy rain
51,Najran,SA,17.4924,44.1277,78.82,14,15,11.1,few clouds
